Comune,Provincia,Regione,Nome,Tipo,Anno inserimento,Identificatore in OpenStreetMap,Longitudine,Latitudine
Aglie',TORINO,Piemonte,Madre Luisa Vaschetti,"Monumento commemorativo, sacrario",2014,2909469531,7.7665114,45.3613970999999
Aglie',TORINO,Piemonte,Partigiani dellla VI Brigata ?Giustizia e Libe,"Monumento commemorativo, sacrario",2014,2909469544,7.7952838,45.3721102
Aglie',TORINO,Piemonte,Partigiano Poletto Francesco,"Monumento commemorativo, sacrario",2014,2909469545,7.7690559,45.36305
Agnone,ISERNIA,Molise,Arco Semiurno,Monumento,2014,2930666516,14.3634068,41.805453
Agnone,ISERNIA,Molise,Libero Serafini,Monumento,2014,2929670387,14.3728728,41.808258
Agnone,ISERNIA,Molise,Porta San Nicola,Monumento,2014,2930678105,14.3669759,41.806952
Agordo,BELLUNO,Veneto,Federico Mohs,"Monumento commemorativo, sacrario",2015,3743777628,12.0356611,46.2815103
Agra,VARESE,Lombardia,Santario Madonna della Lupera,Monumento,2015,1695061648,8.7627782,46.0329812
Agrate Conturbia,NOVARA,Piemonte,Monumento ai Caduti,"Monumento commemorativo, sacrario",2010,865354107,8.5517505,45.6748643
Agrigento,AGRIGENTO,Sicilia,Statua Padre Pio,Monumento,2010,918327052,13.5830362,37.2604413999999
Agrigento,AGRIGENTO,Sicilia,Statua S. Calogero,Monumento,2010,918327898,13.6080144,37.288102
Agrigento,AGRIGENTO,Sicilia,Monumento ai Caduti della Grande Guerra,"Monumento commemorativo, sacrario",2015,3557085362,13.5909221,37.3063324
Ala,TRENTO,Trentino-Alto Adige,Madonna del Cacciatore,Monumento,2008,322071391,11.0331347,45.7904782
Ala,TRENTO,Trentino-Alto Adige,Monumento ai Caduti,Monumento,2015,3704653919,11.0664316,45.7392751
Ala,TRENTO,Trentino-Alto Adige,Armistizio del 29-10-1918,"Monumento commemorativo, sacrario",2008,322065419,11.0111764,45.8180301
Alagna Valsesia,VERCELLI,Piemonte,Ad Antonio Grober - Presidente Club Alpino Itali,Monumento,2013,2187559013,7.9373246,45.8536778
Alagna Valsesia,VERCELLI,Piemonte,Frantoio del feldspato,Monumento,2014,2183239698,7.9370333,45.8676693
Alagna Valsesia,VERCELLI,Piemonte,Monumento ai Partigiani,Monumento,2014,2187559495,7.9371983,45.8540232
Alagna Valsesia,VERCELLI,Piemonte,Pro Patria,Monumento,2014,2187559020,7.9370334,45.8543006
Alano di Piave,BELLUNO,Veneto,Croce Monte Tomba,"Monumento commemorativo, sacrario",2011,1216182670,11.8983673,45.8888401
Albanella,SALERNO,Campania,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,2462119388,15.1157512,40.4785115999999
Albettone,VICENZA,Veneto,Villa Negri Dé Salvi,Monumento,2012,2020853918,11.5854102999999,45.3581452
Albinea,REGGIO EMILIA,Emilia-Romagna,Cippo in memoria di Mario Simonazzi,"Monumento commemorativo, sacrario",2014,3207800798,10.6044184,44.6191134
Albinea,REGGIO EMILIA,Emilia-Romagna,Composizione monumentale in memoria dei caduti d,"Monumento commemorativo, sacrario",2014,2917565779,10.6024638,44.6199967
Albinea,REGGIO EMILIA,Emilia-Romagna,Lapide di Villa Rossi,"Monumento commemorativo, sacrario",2014,3207781142,10.5943378,44.6277539
Albinea,REGGIO EMILIA,Emilia-Romagna,Monumento ‘Mai pié’,"Monumento commemorativo, sacrario",2014,3207758646,10.5924628,44.6246584
Albino,BERGAMO,Lombardia,Quader,Monumento,2011,1142683679,9.7695471,45.7748094
Albisola Marina,SAVONA,Liguria,Cippo Partigiano Lino Saettone,Monumento,2015,3895372713,8.505212,44.33391
Albisola Marina,SAVONA,Liguria,Divisione Alpina Cuneese,"Monumento commemorativo, sacrario",2010,987067731,8.50459629999999,44.3316469999999
Albisola Marina,SAVONA,Liguria,Madonna della Misericordia,"Monumento commemorativo, sacrario",2016,3931068308,8.4976422,44.3213932
Albisola Superiore,SAVONA,Liguria,Monumento Alpini,Monumento,2015,3843534950,8.5108181,44.3341779
Albisola Superiore,SAVONA,Liguria,Monumento ai Caduti,Monumento,2015,3843476662,8.5093944,44.3393722
Alcara Li Fusi,MESSINA,Sicilia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2016,3961386112,14.7015645,38.0214633
Alessandria,ALESSANDRIA,Piemonte,Arco di trionfo,Monumento,2015,1333674199,8.622358,44.9122251
Alessandria,ALESSANDRIA,Piemonte,Cittadella di Alessandria,Monumento,2014,2678756629,8.6044514,44.9214281
Alessandria,ALESSANDRIA,Piemonte,Cittadella di Alessandria,Monumento,2015,1332420123,8.6058482,44.9208597
Alessandria,ALESSANDRIA,Piemonte,obelisco,Monumento,2011,1012435871,8.6138619,44.9136943999999
Alessandria,ALESSANDRIA,Piemonte,Obelisco ai Caduti sul Lavoro,Monumento,2015,3407844586,8.6122587,44.906871
Alessandria,ALESSANDRIA,Piemonte,Statua di Urbano Rattazzi,Monumento,2011,1012435905,8.6161256,44.9133838999999
Alghero,SASSARI,Sardegna,El mirador Giuni Russo,Monumento,2015,2511254361,8.3206193,40.5472571999999
Alia,PALERMO,Sicilia,Croce di pietra,Monumento,2012,1797054186,13.7135697,37.7777699
Altamura,BARI,Puglia,Ex Sito Jupiter ALTAMURA CASAL SABINI,Monumento,2013,2234017153,16.6355438,40.8129648
Altare,SAVONA,Liguria,Monumento C.A.I. Altare,Monumento,2014,1479564702,8.3490906,44.3342530999999
Altare,SAVONA,Liguria,Monumento ai Caduti di Altare,"Monumento commemorativo, sacrario",2011,1540023043,8.34197449999999,44.3358818999999
Altare,SAVONA,Liguria,poggio di Napoleone,"Monumento commemorativo, sacrario",2015,3768666926,8.34953709999999,44.3392327999999
Altavilla Milicia,PALERMO,Sicilia,Chiesazza (resti della chiesa di San Michele),Monumento,2012,1879466642,13.5640218,38.0373606
Altavilla Milicia,PALERMO,Sicilia,torre Colonna,Monumento,2012,1879451804,13.5855009,38.0319855999999
Ancona,ANCONA,Marche,Monumento a Camillo Benso di Cavour,Monumento,2015,660051202,13.5165995999999,43.6169638
Ancona,ANCONA,Marche,Monumento a Giovanni Gervasoni e ai caduti,Monumento,2013,2318991746,13.5190284999999,43.6078948999999
Ancona,ANCONA,Marche,Monumento a Stamira,Monumento,2013,2503340130,13.5147949,43.6168588999999
Ancona,ANCONA,Marche,Monumento ai Caduti ed ai Martiri della Resitenza,Monumento,2010,664964938,13.505029,43.6149673
Ancona,ANCONA,Marche,Monumento ai Caduti sul Mare,Monumento,2010,664964939,13.5051881999999,43.615529
Ancona,ANCONA,Marche,Statua di Clemente XII,Monumento,2012,1707812185,13.5121704,43.6193616999999
Ancona,ANCONA,Marche,Statua di Traiano,Monumento,2012,664964949,13.5085464,43.6183345999999
Andalo,TRENTO,Trentino-Alto Adige,Ai Caduti,Monumento,2011,1525471505,11.0028366,46.1641485
Andria,BARLETTA ANDRIA TRANI,Puglia,Bersaglieri,Monumento,2009,395420012,16.3011915,41.2319881
Andria,BARLETTA ANDRIA TRANI,Puglia,Porta Sant'Andrea,Monumento,2008,308018380,16.2914089,41.2259151
Angera,VARESE,Lombardia,Angera war memorial,"Monumento commemorativo, sacrario",2013,2420979853,8.5691896,45.7706132
Anghiari,AREZZO,Toscana,Garibaldi,Monumento,2012,1853200922,12.0544404,43.5408911
Anghiari,AREZZO,Toscana,Medieval Bridge - Ponte alla Piera,Monumento,2014,3121952889,11.9897791999999,43.5866309999999
Anghiari,AREZZO,Toscana,Maesté di S.Francesco - Cappella e sorgente d'a,"Monumento commemorativo, sacrario",2014,3121958289,11.9916567999999,43.5628618
Angolo Terme,BRESCIA,Lombardia,Maurizio Berteni e Daniele Inversini,"Monumento commemorativo, sacrario",2015,3746320974,10.1273966,45.9318286999999
Angrogna,TORINO,Piemonte,Chanforan,Monumento,2013,1844971589,7.2164597,44.8510586
Antillo,MESSINA,Sicilia,Monumento ai Caduti,Monumento,2013,2508042834,15.2449584,37.9764624999999
Antillo,MESSINA,Sicilia,Campana ai dispersi di tutte le guerre,"Monumento commemorativo, sacrario",2014,2955576043,15.2426051,37.9610378
Aosta,AOSTA,Valle d'Aosta,Chiostro di Sant Orso,Monumento,2012,2031459235,7.3254385,45.7391818999999
Aosta,AOSTA,Valle d'Aosta,Collegiata di Sant Orso,Monumento,2012,2031459236,7.3252582,45.7390623
Aosta,AOSTA,Valle d'Aosta,Lupa Capitolina,Monumento,2015,2555411658,7.313284,45.7350056
Aosta,AOSTA,Valle d'Aosta,"Madonnina, Chemin Des Vignobles",Monumento,2013,2390433843,7.3048677,45.7469848
Aosta,AOSTA,Valle d'Aosta,Ponte Romano,Monumento,2013,2540945311,7.329721,45.7397341
Aosta,AOSTA,Valle d'Aosta,Porta Prétoria,Monumento,2015,848109693,7.3233354,45.7379419999999
Apiro,MACERATA,Marche,Avis Apiro,Monumento,2012,1868029810,13.133424,43.3861600999999
Apiro,MACERATA,Marche,Grotta di S. Francesco,Monumento,2012,1798133005,13.0655977,43.3269178999999
Apollosa,BENEVENTO,Campania,Epitaffio,"Monumento commemorativo, sacrario",2014,2772542622,14.7400623999999,41.0983250999999
Aquileia,UDINE,Friuli-Venezia Giulia,Basilica di Santa Maria Assunta,Monumento,2014,2990179051,13.3705926,45.7695178999999
Aquileia,UDINE,Friuli-Venezia Giulia,Mausoleo,Monumento,2012,772434004,13.3666879,45.7717742999999
Aragona,AGRIGENTO,Sicilia,Monumento al Milite ignoto,Monumento,2015,2825796673,13.6191484,37.4075604
Aragona,AGRIGENTO,Sicilia,Monumento zolfatai,Monumento,2014,2825796671,13.6205675999999,37.4078512
Arcisate,VARESE,Lombardia,San Bernardo,Monumento,2013,2517298712,8.85162839999999,45.8810068
Arcugnano,VICENZA,Veneto,Monumento ai Caduti,Monumento,2016,727458689,11.5095004,45.4692251
Arezzo,AREZZO,Toscana,A Guido Monaco - 1882,Monumento,2015,2996917699,11.8781836999999,43.4631618
Arezzo,AREZZO,Toscana,Casa del Petrarca,Monumento,2011,243481991,11.8835571,43.4660506
Arezzo,AREZZO,Toscana,Fortezza Medicea,Monumento,2015,3743205615,11.8872804999999,43.4651793
Arezzo,AREZZO,Toscana,La Chimera,Monumento,2015,3743272599,11.8757205,43.4685279999999
Arezzo,AREZZO,Toscana,Porta San Lorentino,Monumento,2010,893260358,11.8756606999999,43.4685496999999
Arezzo,AREZZO,Toscana,Pozzo di Tofano,Monumento,2015,3743247405,11.8835221,43.4661650999999
Arezzo,AREZZO,Toscana,Statua Ferdinando III d'Austria,Monumento,2010,243702992,11.8812613,43.4671534
Arezzo,AREZZO,Toscana,"Caduti del Mulinaccio, eccidio nazista 6 luglio","Monumento commemorativo, sacrario",2011,1303523411,11.8606963,43.4731893
Arezzo,AREZZO,Toscana,Petrarca,"Monumento commemorativo, sacrario",2011,1272954145,11.8851967999999,43.4663691
Argegno,COMO,Lombardia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2014,2935329601,9.1291244,45.9451589999999
Arnad,AOSTA,Valle d'Aosta,Machaby - Luogo di incontro dei comandanti parti,"Monumento commemorativo, sacrario",2014,2913962787,7.743118,45.6347986999999
Arnad,AOSTA,Valle d'Aosta,Maurizio Carcereri,"Monumento commemorativo, sacrario",2014,2913962788,7.742837,45.6344749
Arpaia,BENEVENTO,Campania,Colonna di Orsini,"Monumento commemorativo, sacrario",2013,2377763740,14.5515135,41.0377869
Arpaia,BENEVENTO,Campania,Croce dei Pellegrini,"Monumento commemorativo, sacrario",2013,2398739016,14.5465056,41.0350445999999
Arpino,FROSINONE,Lazio,A Giuseppe Cesari Il Cavalier d'Arpino,"Monumento commemorativo, sacrario",2012,1829565780,13.6091418,41.6493194999999
Arpino,FROSINONE,Lazio,Franc.Xav. Bianchi Barnabita,"Monumento commemorativo, sacrario",2012,1829576192,13.6089457,41.6484464999999
Arpino,FROSINONE,Lazio,Monumento ai piloti,"Monumento commemorativo, sacrario",2012,1834056772,13.6055927,41.6469352
Arsiero,VICENZA,Veneto,Cimitero Italiano 15/18,"Monumento commemorativo, sacrario",2016,3699540141,11.3455404,45.8173637
Arzignano,VICENZA,Veneto,Monumento ai Caduti,Monumento,2013,2349289519,11.3633834999999,45.516339
Ascea,SALERNO,Campania,Palazzo Ricci,Monumento,2012,1765871153,15.1858784999999,40.1397228
Ascea,SALERNO,Campania,ruins of Velia,Monumento,2013,1783004800,15.1571962,40.1590494
Ascoli Piceno,ASCOLI PICENO,Marche,Monumento ai Caduti,Monumento,2012,1865888798,13.5753781,42.8536928999999
Ascoli Satriano,FOGGIA,Puglia,Monumento ai Caduti,Monumento,2013,665357137,15.5615104,41.2059876
Asiago,VICENZA,Veneto,Artur Edlen Von Mecenseffy,Monumento,2011,1356367528,11.4716516,45.9669426999999
Asiago,VICENZA,Veneto,Roberto Sarfatti,Monumento,2015,1371091199,11.6134585,45.8686759
Asiago,VICENZA,Veneto,Campana ai Caduti,"Monumento commemorativo, sacrario",2011,1328506169,11.5060886999999,46.0065610999999
Asiago,VICENZA,Veneto,Chiesetta degli alpini,"Monumento commemorativo, sacrario",2016,286295854,11.5226441,45.996493
Asiago,VICENZA,Veneto,Cippo austriaco,"Monumento commemorativo, sacrario",2015,1328506197,11.5085301,46.0100254
Asiago,VICENZA,Veneto,Cippo commemorativo,"Monumento commemorativo, sacrario",2015,3808065926,11.5582882,45.993451
Asiago,VICENZA,Veneto,Colonna Mozza - Cippo Italiano,"Monumento commemorativo, sacrario",2015,1328506187,11.5072171,46.0074200999999
Asiago,VICENZA,Veneto,Madonnina del Lozze,"Monumento commemorativo, sacrario",2016,1328492499,11.5215271,45.9966301999999
Asiago,VICENZA,Veneto,Monumento ai Caduti della Mina di Scalambron,"Monumento commemorativo, sacrario",2015,1446315088,11.5101464,45.9232719
Asiago,VICENZA,Veneto,Ossario,"Monumento commemorativo, sacrario",2016,286295869,11.5225974,45.9966002999999
Asiago,VICENZA,Veneto,Targa d'entrata,"Monumento commemorativo, sacrario",2015,286295852,11.5306637999999,45.9960837
Assisi,PERUGIA,Umbria,Complesso Benedettino di Santa Croce,Monumento,2012,1944979193,12.6152345,43.0820020999999
Assisi,PERUGIA,Umbria,San Francesco,Monumento,2009,541347518,12.6525003999999,43.0628508
Asti,ASTI,Piemonte,Monumento a Umberto I,Monumento,2011,1420547842,8.1977262,44.8991052
Asti,ASTI,Piemonte,Monumento a Vittorio Alfieri,Monumento,2011,1369120901,8.2070927,44.9002798
Asti,ASTI,Piemonte,Monumento a Vittorio Emanuele II,Monumento,2011,1490057314,8.20965329999999,44.8992222999999
Asti,ASTI,Piemonte,Monumento ai Caduti,Monumento,2011,1420547845,8.2137852,44.9029895999999
Asti,ASTI,Piemonte,Statua a Secondo Borgherio,Monumento,2011,1490057316,8.2086252,44.8990848999999
Asti,ASTI,Piemonte,Busto ad Alessandro Artom,"Monumento commemorativo, sacrario",2011,1490057312,8.2098677,44.8997206
Asti,ASTI,Piemonte,Busto di Annibale Vigna,"Monumento commemorativo, sacrario",2011,1490057313,8.2109045,44.8992774
Asti,ASTI,Piemonte,Colonna chiesa di san Sisti,"Monumento commemorativo, sacrario",2015,3390273232,8.2014253,44.9002679999999
Asti,ASTI,Piemonte,Monumento a Umberto Cagni,"Monumento commemorativo, sacrario",2011,1444544761,8.1916565,44.9071453
Asti,ASTI,Piemonte,Monumento ai caduti di Montemarzo,"Monumento commemorativo, sacrario",2015,3781931747,8.2579647,44.8664624
Asti,ASTI,Piemonte,Monumento ai martiri della Divisione Acqui,"Monumento commemorativo, sacrario",2013,2278903710,8.2048559,44.9117265
Asti,ASTI,Piemonte,Monumento ai Partigiani,"Monumento commemorativo, sacrario",2011,1490057315,8.20912749999999,44.8995280999999
Asti,ASTI,Piemonte,Partigiani astigiani,"Monumento commemorativo, sacrario",2015,3386126239,8.2015454,44.9053392
Asti,ASTI,Piemonte,Roseto cinerario,"Monumento commemorativo, sacrario",2014,2983241654,8.1891193,44.8941699
Asti,ASTI,Piemonte,Rotonda Pierino e Cesare Bona,"Monumento commemorativo, sacrario",2014,3034949237,8.22980259999999,44.905594
Asti,ASTI,Piemonte,Targa AVIS,"Monumento commemorativo, sacrario",2011,1490057317,8.2092156,44.8994033
Asti,ASTI,Piemonte,Tomba di Umberto Cagni,"Monumento commemorativo, sacrario",2012,1731141275,8.189403,44.8942169
Ateleta,L'AQUILA,Abruzzo,Croce di Carceres,Monumento,2014,2713135501,14.1374622999999,41.8690063
Atella,POTENZA,Basilicata,Duomo,Monumento,2014,2680994210,15.6537141,40.8766512999999
Atina,FROSINONE,Lazio,Monumento ai Caduti,Monumento,2012,1805254349,13.8019221,41.6187540999999
Aulla,MASSA-CARRARA,Toscana,Monumento partigiani,"Monumento commemorativo, sacrario",2014,1922556212,9.96838009999999,44.2088946
Aurano,VERBANIA,Piemonte,Ponte di epoca romana,Monumento,2013,2495118541,8.6117503,46.011245
Aurano,VERBANIA,Piemonte,Ponte di epoca romana,Monumento,2013,2495129337,8.6166404,46.0209301
Auronzo di Cadore,BELLUNO,Veneto,Piramide Carducci,Monumento,2014,844667854,12.242494,46.6167589
Auronzo di Cadore,BELLUNO,Veneto,Cippo Ruggero De Simone,"Monumento commemorativo, sacrario",2015,3757036777,12.2467883,46.6195270999999
Auronzo di Cadore,BELLUNO,Veneto,IL 23 REG. FANT.,"Monumento commemorativo, sacrario",2011,1356143002,12.2298995,46.6106424
Ausonia,FROSINONE,Lazio,alle vittime della guerra,"Monumento commemorativo, sacrario",2012,1832019515,13.7487660999999,41.3545493
Ausonia,FROSINONE,Lazio,Gloriosi Caduti 1935-45,"Monumento commemorativo, sacrario",2012,1832010891,13.7487726,41.3559035999999
Avezzano,L'AQUILA,Abruzzo,Incile del Fucino,Monumento,2011,1105980876,13.4500019,41.9933088
Avigliana,TORINO,Piemonte,Guerrino Nicoli,"Monumento commemorativo, sacrario",2015,3390056541,7.4007239,45.0849230999999
Ayas,AOSTA,Valle d'Aosta,Bosco delle Statue,Monumento,2013,2435150143,7.7325057,45.8428424
Ayas,AOSTA,Valle d'Aosta,Abé Gorret,"Monumento commemorativo, sacrario",2016,3936181326,7.7305739,45.8628208
Ayas,AOSTA,Valle d'Aosta,Alpini di Saint Jacques,"Monumento commemorativo, sacrario",2013,2435150131,7.7310281,45.8623455999999
Ayas,AOSTA,Valle d'Aosta,Beato Piergiorgio Frassati,"Monumento commemorativo, sacrario",2012,1822569527,7.7278607,45.8698054999999
Ayas,AOSTA,Valle d'Aosta,Favre Felice m.10-08-1966,"Monumento commemorativo, sacrario",2011,1471997118,7.7257331,45.8262098
Ayas,AOSTA,Valle d'Aosta,Memoriale vittime valanga 6 gennaio 1920,"Monumento commemorativo, sacrario",2015,3697078063,7.7222419,45.8314407
Ayas,AOSTA,Valle d'Aosta,Preghiera,"Monumento commemorativo, sacrario",2013,2433912159,7.6849379,45.8476061
Ayas,AOSTA,Valle d'Aosta,"Umberto Bernardi - Giorgio Franco, 28-1-1995","Monumento commemorativo, sacrario",2011,1418699997,7.7638456,45.8141633999999
Azzano Decimo,PORDENONE,Friuli-Venezia Giulia,Ai Caduti,Monumento,2013,2581218911,12.6724872,45.8916941
Azzate,VARESE,Lombardia,Antonio Ghiringhelli,Monumento,2015,3470521674,8.7946188,45.7815465999999
Azzone,BERGAMO,Lombardia,Sarna Giacomo,"Monumento commemorativo, sacrario",2015,3740656005,10.1272895999999,45.9595855999999
Bacoli,NAPOLI,Campania,Tempio di Diana,Monumento,2011,1503942568,14.0714422,40.8160978
Bacoli,NAPOLI,Campania,Bunker,"Monumento commemorativo, sacrario",2013,2235447711,14.0645687,40.8232124999999
Bacoli,NAPOLI,Campania,Bunker,"Monumento commemorativo, sacrario",2013,2235447893,14.0655531,40.8235758
Bagheria,PALERMO,Sicilia,Baldassare Scaduto,"Monumento commemorativo, sacrario",2015,3607746019,13.5051101,38.0888666999999
Bagheria,PALERMO,Sicilia,targa 1769 (apertura corso),"Monumento commemorativo, sacrario",2012,1875842781,13.5055216999999,38.0880717
Bagnacavallo,RAVENNA,Emilia-Romagna,Monumento ai Caduti,Monumento,2015,3796948862,11.977771,44.4162758
Bagnara Calabra,REGGIO CALABRIA,Calabria,Monumento ai Caduti,"Monumento commemorativo, sacrario",2014,2985985817,15.8035064999999,38.2858410999999
Bagnaria,PAVIA,Lombardia,La fonte di tutte le cose é l'eterna forza del,"Monumento commemorativo, sacrario",2013,2520970299,9.126058,44.8244887
Bagni di Lucca,LUCCA,Toscana,Monumento a Dante,Monumento,2014,2183388676,10.5922888,44.0615908999999
Bagni di Lucca,LUCCA,Toscana,Monumento ai Caduti,Monumento,2014,2976102724,10.5902515,44.0100696
Bagno a Ripoli,FIRENZE,Toscana,Fonte della Fata Morgana,Monumento,2016,1105931892,11.2786997,43.7317779999999
Bagno a Ripoli,FIRENZE,Toscana,Spedale del Bigallo,Monumento,2011,1137737709,11.3497942,43.7384337
Bagno di Romagna,FORLI',Emilia-Romagna,"Edicola in memoria di Damiani,Lusini,Portolani","Monumento commemorativo, sacrario",2015,3802672983,11.9983848,43.9039888
Bagno di Romagna,FORLI',Emilia-Romagna,Pellegrino Scotti,"Monumento commemorativo, sacrario",2011,1301870624,11.9679768,43.8534308999999
Bagnolo San Vito,MANTOVA,Lombardia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2011,1433102262,10.8489719,45.0969515
Bagolino,BRESCIA,Lombardia,Monumento ai Caduti,Monumento,2015,2475944941,10.4649483,45.8231408999999
Bagolino,BRESCIA,Lombardia,Tita Secchi,"Monumento commemorativo, sacrario",2015,3079216030,10.4056236,45.8010243
Bairo,TORINO,Piemonte,Ai Caduti del 1915-1918,"Monumento commemorativo, sacrario",2014,2947382115,7.7569992,45.3859526999999
Balme,TORINO,Piemonte,La Montanara,"Monumento commemorativo, sacrario",2012,1763055062,7.1645476,45.3065451
Balzola,ALESSANDRIA,Piemonte,Monumento ai Caduti,Monumento,2012,1874231335,8.4024835,45.1829703
Barbarano Vicentino,VICENZA,Veneto,Monumento ai Caduti,Monumento,2010,884334854,11.5759048,45.3919566
Barbariga,BRESCIA,Lombardia,Monumento AVIS,"Monumento commemorativo, sacrario",2013,2101693841,10.0570246,45.4029804999999
Barberino di Mugello,FIRENZE,Toscana,Monumento ai Caduti,"Monumento commemorativo, sacrario",2011,1003816826,11.238159,44.0001414999999
Bardonecchia,TORINO,Piemonte,Gruppo alpini di Bardonecchia,"Monumento commemorativo, sacrario",2015,1922343336,6.7773086,45.138196
Bardonecchia,TORINO,Piemonte,Vaschetto Alberto,"Monumento commemorativo, sacrario",2014,2962334011,6.7110989,45.0693619999999
Barge,CUNEO,Piemonte,Targa partigiana,"Monumento commemorativo, sacrario",2015,3762262144,7.2830942,44.7229115
Bari,BARI,Puglia,Ala di Bronzo,Monumento,2015,3472026706,16.8744826,41.1026255
Bari,BARI,Puglia,Arco delle meraviglie,Monumento,2011,1388659237,16.8702063,41.1290703
Bari,BARI,Puglia,Colonna Infame,Monumento,2015,1438739516,16.8720956999999,41.1280545999999
Bari,BARI,Puglia,orologio solare,Monumento,2015,3472026632,16.8749225,41.1026376
Bari,BARI,Puglia,Per non dimenticare - 23/05/1992,"Monumento commemorativo, sacrario",2011,1073430305,16.8570366,41.0728671
Bari,BARI,Puglia,Sacrario Militare,"Monumento commemorativo, sacrario",2012,1733843454,16.9042382999999,41.1090031
Barletta,BARLETTA ANDRIA TRANI,Puglia,Carlo Cafiero,Monumento,2009,565693538,16.2782379,41.3200799999999
Barletta,BARLETTA ANDRIA TRANI,Puglia,Eraclio,Monumento,2014,412385823,16.2815310999999,41.3192141999999
Barzio,LECCO,Lombardia,Monumento ai caduti di Barzio,"Monumento commemorativo, sacrario",2014,1614670849,9.4686425,45.9462893999999
Bascape',PAVIA,Lombardia,Parco Enrico Mattei,"Monumento commemorativo, sacrario",2012,2022832744,9.3002488,45.3002901999999
Baselga di Pine',TRENTO,Trentino-Alto Adige,Monumento ai Caduti,"Monumento commemorativo, sacrario",2011,276248562,11.2463352,46.1310994999999
Basiliano,UDINE,Friuli-Venezia Giulia,Immacolata,Monumento,2015,3738161852,13.1028024,46.040163
Basiliano,UDINE,Friuli-Venezia Giulia,S. Stefano,Monumento,2015,3738161853,13.100625,46.0407924
Basiliano,UDINE,Friuli-Venezia Giulia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,3738161855,13.1003241,46.0407817999999
Bassano del Grappa,VICENZA,Veneto,Bolle di Nardini,Monumento,2011,1436636260,11.7548654,45.7402720999999
Bassano del Grappa,VICENZA,Veneto,Monumento agli Alpini,Monumento,2013,2181905808,11.7326735,45.7635367
Bassano del Grappa,VICENZA,Veneto,Monumento alla Patria,Monumento,2013,1431338079,11.7382747,45.7692438999999
Bassano del Grappa,VICENZA,Veneto,Porta Delle Grazie,Monumento,2012,1421295394,11.7378978,45.7693261
Bassano del Grappa,VICENZA,Veneto,Villa Brocchi Colonna,Monumento,2011,1529283107,11.7126544999999,45.7778637999999
Bassano del Grappa,VICENZA,Veneto,Villa Cé Rezzonico,Monumento,2011,1400006042,11.7438077,45.755037
Bassano del Grappa,VICENZA,Veneto,Madonna di Fatima,"Monumento commemorativo, sacrario",2016,1140892542,11.6919771,45.8111611
